District,State,Growth,Sex_Ratio,Literacy
Thane,Maharashtra,0.36,886,84.53
North Twenty Four Parganas,West Bengal,0.12,955,84.06
Bangalore,Karnataka,0.47,916,87.67
Pune,Maharashtra,0.30,915,86.15
Mumbai Suburban,Maharashtra,0.08,860,89.91
South Twenty Four Parganas,West Bengal,0.18,956,77.51
Barddhaman,West Bengal,0.12,945,76.21
Ahmadabad,Gujarat,0.24,904,85.31
Murshidabad,West Bengal,0.21,958,66.59
Jaipur,Rajasthan,0.26,910,75.51
Nashik,Maharashtra,0.22,934,82.31
Surat,Gujarat,0.42,787,85.53
Allahabad,Uttar Pradesh,0.21,901,72.32
Paschim Medinipur,West Bengal,0.14,966,78
Patna,Bihar,0.24,897,70.68
Hugli,West Bengal,0.09,961,81.8
Rangareddy,Andhra Pradesh,0.48,961,75.87
Nadia,West Bengal,0.12,947,74.97
East Godavari,Andhra Pradesh,0.05,1006,70.99
Purbi Champaran,Bihar,0.29,902,55.79
Purba Medinipur,West Bengal,0.15,938,87.02
Guntur,Andhra Pradesh,0.09,1003,67.4
Haora,West Bengal,0.14,939,83.31
Muzaffarpur,Bihar,0.28,900,63.43
Belgaum,Karnataka,0.13,973,73.48
Moradabad,Uttar Pradesh,0.25,906,56.77
Ghaziabad,Uttar Pradesh,0.42,881,78.07
Nagpur,Maharashtra,0.14,951,88.39
Chennai,Tamil Nadu,0.07,989,90.18
Azamgarh,Uttar Pradesh,0.17,1019,70.93
Lucknow,Uttar Pradesh,0.26,917,77.29
Kanpur Nagar,Uttar Pradesh,0.10,862,79.65
Ahmadnagar,Maharashtra,0.12,939,79.05
Krishna,Andhra Pradesh,0.08,992,73.74
Kolkata,West Bengal,-0.02,908,86.31
Jaunpur,Uttar Pradesh,0.15,1024,71.55
Madhubani,Bihar,0.26,926,58.62
Sitapur,Uttar Pradesh,0.24,888,61.12
Bareilly,Uttar Pradesh,0.23,887,58.49
Gorakhpur,Uttar Pradesh,0.18,950,70.83
Agra,Uttar Pradesh,0.22,868,71.58
Gaya,Bihar,0.26,937,63.67
Solapur,Maharashtra,0.12,938,77.02
Visakhapatnam,Andhra Pradesh,0.12,1006,66.91
Samastipur,Bihar,0.26,911,61.86
Jalgaon,Maharashtra,0.15,925,78.2
Chittoor,Andhra Pradesh,0.11,997,71.53
Vadodara,Gujarat,0.14,934,78.92
Muzaffarnagar,Uttar Pradesh,0.17,889,69.12
Malappuram,Kerala,0.13,1098,93.57
Hardoi,Uttar Pradesh,0.20,868,64.57
Anantapur,Andhra Pradesh,0.12,977,63.57
Raipur,Chhattisgarh,0.35,984,75.56
Kurnool,Andhra Pradesh,0.15,988,59.97
Mahbubnagar,Andhra Pradesh,0.15,977,55.04
Kheri,Uttar Pradesh,0.25,894,60.56
Kancheepuram,Tamil Nadu,0.39,986,84.49
Maldah,West Bengal,0.21,944,61.73
Saran,Bihar,0.22,954,65.96
Hyderabad,Andhra Pradesh,0.03,954,83.25
Darbhanga,Bihar,0.19,911,56.56
West Godavari,Andhra Pradesh,0.04,1004,74.63
Vellore,Tamil Nadu,0.13,1007,79.17
Pashchim Champaran,Bihar,0.29,909,55.7
Kolhapur,Maharashtra,0.10,957,81.51
Jalpaiguri,West Bengal,0.14,953,73.25
Rajkot,Gujarat,0.20,927,80.96
Sultanpur,Uttar Pradesh,0.18,983,69.27
Karimnagar,Andhra Pradesh,0.08,1008,64.15
Thiruvallur,Tamil Nadu,0.35,987,84.03
Aurangabad,Maharashtra,0.28,923,79.02
Jodhpur,Rajasthan,0.28,916,65.94
Bijnor,Uttar Pradesh,0.18,917,68.48
Budaun,Uttar Pradesh,0.20,871,51.29
Varanasi,Uttar Pradesh,0.17,913,75.6
Alwar,Rajasthan,0.23,895,70.72
Aligarh,Uttar Pradesh,0.23,882,67.52
North West Delhi,Delhi,0.28,865,84.45
Ghazipur,Uttar Pradesh,0.19,952,71.78
Bankura,West Bengal,0.13,957,70.26
Kushinagar,Uttar Pradesh,0.23,961,65.25
Ganjam,Orissa,0.12,983,71.09
Warangal,Andhra Pradesh,0.08,997,65.11
Birbhum,West Bengal,0.16,956,70.68
Bulandshahar,Uttar Pradesh,0.20,896,68.88
Ludhiana,Punjab,0.15,873,82.2
Vaishali,Bihar,0.29,895,66.6
Nalgonda,Andhra Pradesh,0.07,983,64.2
Bahraich,Uttar Pradesh,0.46,892,49.36
Salem,Tamil Nadu,0.15,954,72.86
Saharanpur,Uttar Pradesh,0.20,890,70.49
Viluppuram,Tamil Nadu,0.17,987,71.88
Coimbatore,Tamil Nadu,0.19,1000,83.98
Meerut,Uttar Pradesh,0.15,886,72.84
Gonda,Uttar Pradesh,0.24,921,58.71
Sitamarhi,Bihar,0.28,899,52.05
Rae Bareli,Uttar Pradesh,0.19,943,67.25
Prakasam,Andhra Pradesh,0.11,981,63.08
Nanded,Maharashtra,0.17,943,75.45
Durg,Chhattisgarh,0.19,988,79.06
Siwan,Bihar,0.23,988,69.45
Nagaur,Rajasthan,0.19,950,62.8
Thiruvananthapuram,Kerala,0.02,1087,93.02
Ernakulam,Kerala,0.06,1027,95.89
Indore,Madhya Pradesh,0.33,928,80.87
Purnia,Bihar,0.28,921,51.08
Barabanki,Uttar Pradesh,0.22,910,61.75
Ballia,Uttar Pradesh,0.17,937,70.94
Pratapgarh,Uttar Pradesh,0.18,998,70.09
Thrissur,Kerala,0.05,1108,95.08
Banaskantha,Gujarat,0.25,938,65.32
Unnao,Uttar Pradesh,0.15,907,66.37
Deoria,Uttar Pradesh,0.14,1017,71.13
Kozhikode,Kerala,0.07,1098,95.08
Mumbai City,Maharashtra,-0.08,832,89.21
Tirunelveli,Tamil Nadu,0.13,1023,82.5
Katihar,Bihar,0.28,919,52.24
Udaipur,Rajasthan,0.24,958,61.82
Madurai,Tamil Nadu,0.18,990,83.45
Bhagalpur,Bihar,0.25,880,63.14
Medak,Andhra Pradesh,0.14,992,61.42
Uttar Dinajpur,West Bengal,0.23,939,59.07
Shahjahanpur,Uttar Pradesh,0.18,872,59.54
Satara,Maharashtra,0.07,988,82.87
Mysore,Karnataka,0.14,985,72.79
Begusarai,Bihar,0.26,895,63.87
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.11,985,68.9
Rohtas,Bihar,0.21,918,73.37
Puruliya,West Bengal,0.16,957,64.48
Ranchi,Jharkhand,0.24,949,76.06
Amravati,Maharashtra,0.11,951,87.38
YSR,Andhra Pradesh,0.11,985,67.3
Bhavnagar,Gujarat,0.17,933,75.52
Nalanda,Bihar,0.21,922,64.43
Nagaon,Assam,0.22,962,72.37
Sangli,Maharashtra,0.09,966,81.48
Koch Bihar,West Bengal,0.14,942,74.78
Araria,Bihar,0.30,921,53.53
Palakkad,Kerala,0.07,1067,89.31
Khammam,Andhra Pradesh,0.08,1011,64.81
Yavatmal,Maharashtra,0.13,952,82.82
Junagadh,Gujarat,0.12,953,75.8
Adilabad,Andhra Pradesh,0.10,1001,61.01
South Delhi,Delhi,0.21,862,86.57
Bhojpur,Bihar,0.22,907,70.47
Tiruchirappalli,Tamil Nadu,0.13,1013,83.23
Srikakulam,Andhra Pradesh,0.07,1015,61.74
Maharajganj,Uttar Pradesh,0.24,943,62.76
Dhanbad,Jharkhand,0.12,909,74.52
Tumkur,Karnataka,0.04,984,75.14
Sikar,Rajasthan,0.17,947,71.91
Bilaspur,Chhattisgarh,0.33,971,70.78
Kollam,Kerala,0.02,1113,94.09
Raigarh,Maharashtra,0.19,959,83.14
Fatehpur,Uttar Pradesh,0.14,901,67.43
Cuttack,Orissa,0.12,940,85.5
Cuddalore,Tamil Nadu,0.14,987,78.04
Barmer,Rajasthan,0.33,902,56.53
Buldana,Maharashtra,0.16,934,83.4
Bid,Maharashtra,0.20,916,76.99
Ajmer,Rajasthan,0.18,951,69.33
Gulbarga,Karnataka,0.18,971,64.85
Gopalganj,Bihar,0.19,1021,65.47
Siddharth Nagar,Uttar Pradesh,0.25,976,59.25
Nizamabad,Andhra Pradesh,0.09,1040,61.25
Bharatpur,Rajasthan,0.21,880,70.11
Mathura,Uttar Pradesh,0.23,863,70.36
West Delhi,Delhi,0.19,875,86.98
Aurangabad,Bihar,0.26,926,70.32
Kannur,Kerala,0.05,1136,95.1
Mayurbhanj,Orissa,0.13,1006,63.17
Firozabad,Uttar Pradesh,0.22,875,71.92
Mirzapur,Uttar Pradesh,0.18,903,68.48
Amritsar,Punjab,0.15,889,76.27
Tiruppur,Tamil Nadu,0.29,989,78.68
Faizabad,Uttar Pradesh,0.18,962,68.73
Tiruvannamalai,Tamil Nadu,0.13,994,74.21
Basti,Uttar Pradesh,0.18,963,67.22
Jabalpur,Madhya Pradesh,0.15,929,81.07
Latur,Maharashtra,0.18,928,77.26
Bellary,Karnataka,0.21,983,67.43
Giridih,Jharkhand,0.28,944,63.14
Sabarkantha,Gujarat,0.17,952,75.79
Bhilwara,Rajasthan,0.20,973,61.37
Thanjavur,Tamil Nadu,0.09,1035,82.64
Ambedkar Nagar,Uttar Pradesh,0.18,978,72.23
PanchMahal,Gujarat,0.18,949,70.99
Sagar,Madhya Pradesh,0.18,893,76.46
Bhopal,Madhya Pradesh,0.29,918,80.37
Rewa,Madhya Pradesh,0.20,931,71.62
Bikaner,Rajasthan,0.41,905,65.13
Surguja,Chhattisgarh,0.20,978,60.01
Vizianagaram,Andhra Pradesh,0.04,1019,58.89
Rampur,Uttar Pradesh,0.21,909,53.34
Baleshwar,Orissa,0.15,957,79.79
Kheda,Gujarat,0.14,940,82.65
Gurdaspur,Punjab,0.09,895,79.95
Purbi Singhbhum,Jharkhand,0.16,949,75.49
South West Delhi,Delhi,0.31,840,88.28
Erode,Tamil Nadu,0.12,993,72.58
Khordha,Orissa,0.20,929,86.88
North East Delhi,Delhi,0.27,886,83.09
Supaul,Bihar,0.29,929,57.67
Satna,Madhya Pradesh,0.19,926,72.26
Nawada,Bihar,0.23,939,59.76
Mau,Uttar Pradesh,0.19,979,73.09
Chandrapur,Maharashtra,0.06,961,80.01
Jalandhar,Punjab,0.12,915,82.48
Dhar,Madhya Pradesh,0.26,964,59
Bijapur,Karnataka,0.21,960,67.15
Jamnagar,Gujarat,0.13,939,73.65
Dindigul,Tamil Nadu,0.12,998,76.26
Balrampur,Uttar Pradesh,0.28,928,49.51
Jhunjhunun,Rajasthan,0.12,950,74.13
Alappuzha,Kerala,0.01,1100,95.72
Dohad,Gujarat,0.30,990,58.82
Sundargarh,Orissa,0.14,973,73.34
Anand,Gujarat,0.13,925,84.37
Kachchh,Gujarat,0.32,908,70.59
Chhindwara,Madhya Pradesh,0.13,964,71.16
Dakshina Kannada,Karnataka,0.10,1020,88.57
Bokaro,Jharkhand,0.16,922,72.01
Dhule,Maharashtra,0.20,946,72.8
Churu,Rajasthan,0.06,940,66.75
